orderId,retailer,orderDate,currentStoredUrl,actualReturnUrl,howIFoundIt,dataNeededToStart,authRequired,notes
cmt7nv3jz0003ky047l3smhpj,American Girl,2026-08-24,https://www.americangirl.com/pages/returns,,,,,
cmtd5swb20003jx04cg1hbl0i,American Girl,2026-08-28,https://www.americangirl.com/pages/returns,,,,,
cmrwa20650003jt04wu1gj5eu,Ancient Greek Sandals,2026-07-22,https://locator.dhl.com,,,,,
cmt4v0wyr0003jp04iak44536,Apple,2026-08-22,https://store.apple.com/xc/us/vieworder/W1816483925/alexandra.moser@gmail.com,,,,,
cmszb381h0003la046bjugbaj,Buff City Soap,2026-08-18,https://buffcitysoap.com/pages/contact,,,,,
cmsz8qxl60003l504ztfk6wxh,Buff City Soap,2026-08-18,https://buffcitysoap.com/pages/contact,,,,,
cmsx8obt20003jl0471e9ymc0,Gap,2026-08-17,https://www.gap.com/customer-service/how-to-return-exchange-items?cid=81264,,,,,
cmt4mqd3a0003jt04jfjo9tsc,Gap,2026-08-22,https://gap.returns.optiturn.com/,,,,,
cmt9hmhsq0003jo04s709p5tq,Gap,2026-08-26,https://www.gap.com/customer-service/how-to-return-exchange-items?cid=81264,,,,,
cmtkeeq7e0003le04eqt79jcz,GAP,2026-09-02,https://www.gap.com/customer-service/info.do?cid=3040265,,,,,
cmrchi2ul0003kz049itfhi4f,Gap Inc.,,https://u24515401.ct.sendgrid.net/ls/click?upn=u001.LpY-2FnwVMTTWs0anxqjVuEf0Rh6QeJ7O12lsPqGtYAu5cPOxd9StCVMLG055eGs3p-2FCLiNjc1Cn5Mtl0D8hOOoVGLiKKfZ77qfStS0tv759FCpo0E2s2FtHL7rJuIRnvAWvm77ohL-2Bm1a-2BKNZoEpkGAYpIMpvEgHTbWM-2FddNQ1rR6N1lKAtL7bcI5FBOH9rzWVPwx_0gr8utcRgc22AJtHurr07Y1IA6bpXFnLzCyUUC2zWvABoCKvpJABd-2BmTwAMHhS35GIVj2jCelbBfve5ruioht2D5z30bddgl9VIdgp9LxrX6-2BQkHkYVKvLKTwu6U3o-2FflfbkT-2BPp3M5LiMSE250JT12f5FKgyB0PKPlEzI4-2BMeDiT7b4MEYW3-2FZQfaNneAgR659UJg-2BhVxivBaUPVdJ2-2BMneQmi4Nl3yu6G7f6QRgmTLRlzZSAGvq56TK-2FMn-2Fi8A1qgUWeGB2oDPmIRtIzzQKkUEJWhtuLD6K5XGU50-2BZnDK9AlKEk9lv7-2FzfXaKUYxFpsbhzy9rtOMEMLZPllLt4xU6xA3tOpd8V7B3sAUiMF1mwcp7M1uDh44ocHd2WLX9,,,,,
